# Wiktionary	als	http://wiktionary.org/	CC BY-SA
02206856-n	als:lemma	Imme
06321702-n	als:lemma	adjektiv
06966825-n	als:lemma	Spanische Sprache
08822742-n	als:lemma	Edmonton
08849753-n	als:lemma	Belgien
08921850-n	als:lemma	Japan
09039411-n	als:lemma	Türkei
09189411-n	als:lemma	Afrika
15204983-n	als:lemma	Jahrzehnt
